station_id,station_name,timestamp,year,month,day,station_eovx,station_eovy,Levegőhőmérséklet,Relatív páratartalom,Talajhőmérséklet,Talajnedvesség
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-04 11:00:00,2021,2,4,170073.000000,584904.000000,8.973913043478264,77.78260869565217,5.765217391304349,33.6
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-05 11:00:00,2021,2,5,170073.000000,584904.000000,6.920833333333334,88.20833333333333,5.704166666666666,36.51666666666666
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-06 11:00:00,2021,2,6,170073.000000,584904.000000,5.629166666666666,100.0,5.912500000000001,32.30416666666667
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-07 11:00:00,2021,2,7,170073.000000,584904.000000,2.8499999999999996,99.95454545454545,5.1909090909090905,35.540909090909096
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-08 11:00:00,2021,2,8,170073.000000,584904.000000,3.433333333333333,93.625,4.845833333333334,33.691666666666656
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-09 11:00:00,2021,2,9,170073.000000,584904.000000,2.2086956521739127,99.17391304347827,3.9260869565217384,37.81739130434783
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-10 11:00:00,2021,2,10,170073.000000,584904.000000,3.178260869565218,99.26086956521739,4.269565217391304,36.199999999999996
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-11 11:00:00,2021,2,11,170073.000000,584904.000000,-3.308333333333333,76.625,2.816666666666667,37.016666666666666
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-12 11:00:00,2021,2,12,170073.000000,584904.000000,-5.7,66.20833333333333,1.0999999999999996,37.05833333333334
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-13 11:00:00,2021,2,13,170073.000000,584904.000000,-5.825,71.45833333333333,0.39166666666666666,32.60416666666666
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-14 11:00:00,2021,2,14,170073.000000,584904.000000,-3.3375000000000004,73.79166666666667,0.15000000000000008,26.69130434782608
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-15 11:00:00,2021,2,15,170073.000000,584904.000000,-2.1999999999999997,64.30434782608695,0.02608695652173913,22.76086956521739
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-16 11:00:00,2021,2,16,170073.000000,584904.000000,-0.9227272727272727,71.22727272727273,0.10454545454545458,23.677272727272726
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-17 11:00:00,2021,2,17,170073.000000,584904.000000,3.0,77.66666666666667,0.19166666666666674,29.78749999999999
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-18 11:00:00,2021,2,18,170073.000000,584904.000000,4.8478260869565215,74.26086956521739,0.23478260869565215,35.160869565217396
07F16A43-6FBA-4A77-A22A-BFE79D336204,Ádánd,2021-02-19 11:00:00,2021,2,19,170073.000000,584904.000000,4.2125,87.20833333333333,1.5916666666666668,35.06666666666666
